ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
cares act - ESG - men's shelter covid medical respite & support,CARESAct,CARESActESGP,5618,1,CCR,13,SG2020-191,"53,550.00",9/10/2021,10/20/2021,10/13/2021,"4,322.22",10/15/2021,10/18/2021,10/18/2021,10/19/2021,Complete,40
Community Development,NDA,CDBG_NDA,5623,1,CCR,6,,"25,000.00",10/21/2021,11/30/2021,11/24/2021,"2,083.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,40
Community Development,NDA,CDBG_NDA,5623,1,CCR,7,,"25,000.00",10/21/2021,11/30/2021,11/24/2021,"2,083.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,40
Community Development,NDA,CDBG_NDA,5623,1,CCR,8,,"25,000.00",10/21/2021,11/30/2021,11/24/2021,"2,083.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,40
Community Development,NDA,CDBG_NDA,5623,1,CCR,10,,"25,000.00",10/21/2021,11/30/2021,11/24/2021,"2,083.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,40
Community Development,NDA,CDBG_NDA,5623,1,CCR,11,,"25,000.00",10/21/2021,11/30/2021,11/24/2021,"2,083.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,40
Teen Leadership Program,Social Service,CDBG_DEPT,5700,1,CCR,1,SG2021-272,"21,375.00",12/17/2021,1/26/2022,1/19/2022,"1,341.17",1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
Teen Leadership Program,Social Service,CDBG_DEPT,5700,1,CCR,2,SG2021-272,"21,375.00",12/17/2021,1/26/2022,1/19/2022,"1,061.09",1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
At-Risk Youth,Social Service,CDBG_DEPT,5704,1,CCR,1,SG2021-269,"12,600.00",12/17/2021,1/26/2022,1/19/2022,688.38,1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
At-Risk Youth,Social Service,CDBG_DEPT,5704,1,CCR,2,SG2021-269,"12,600.00",12/17/2021,1/26/2022,1/19/2022,434.18,1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
Senior Adult Program,Social Service,CDBG_DEPT,5728,1,CCR,1,SG2021-270,"24,174.00",12/17/2021,1/26/2022,1/19/2022,"1,238.40",1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
Senior Adult Program,Social Service,CDBG_DEPT,5728,1,CCR,2,SG2021-270,"24,174.00",12/17/2021,1/26/2022,1/19/2022,"1,238.40",1/19/2022,1/24/2022,1/24/2022,1/24/2022,Complete,40
2021 Hunger Center,NDA,CDBG_NDA,5778,1,CCR,3,SG2021-295,"40,000.00",10/27/2021,12/6/2021,11/29/2021,"2,079.01",12/1/2021,12/1/2021,12/1/2021,12/2/2021,Complete,40
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,4,RH2020-075,"270,000.00",5/13/2021,6/23/2021,5/13/2021,"44,280.00",5/13/2021,5/13/2021,5/13/2021,5/14/2021,Complete,41
Bohemian National Hall Capital Improvements,NDA,CDBG_NDA,194,3,Other_Dept,1,SG2021-299,"20,000.00",12/15/2021,1/25/2022,1/17/2022,"7,217.00",1/18/2022,1/18/2022,1/19/2022,1/19/2022,Complete,41
SWDS Homes,Single Family,HOME,325,2,HDO,1,CT8006LA2020*161,"600,000.00",9/3/2021,10/14/2021,10/1/2021,"540,000.00",10/1/2021,10/4/2021,10/5/2021,10/14/2021,Complete,41
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5294,1,CCR,9,SG2019-159,"482,000.00",5/1/2020,6/11/2020,6/4/2020,"33,814.49",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,41
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5299,1,CCR,6,SG2019-121,"288,000.00",1/28/2020,3/9/2020,2/13/2020,0.00,2/13/2020,2/25/2020,3/6/2020,3/9/2020,Complete,41
West Park Senior Services & Nutrition Program,Social Service,CDBG_DEPT,5325,1,CCR,12,SG2019-109,"13,000.00",7/23/2020,9/2/2020,8/13/2020,0.00,8/13/2020,8/14/2020,8/17/2020,9/2/2020,Complete,41
Wisdom Keepers Program,Social Service,CDBG_DEPT,5336,1,CCR,7,SG2019-184,"9,900.00",6/9/2020,7/20/2020,7/15/2020,742.17,7/15/2020,7/15/2020,7/16/2020,7/20/2020,Complete,41
At-Risk Youth Program,Social Service,CDBG_DEPT,5381,1,CCR,11,SG2019-147,"14,000.00",10/9/2020,11/19/2020,10/22/2020,815.16,10/22/2020,10/26/2020,11/17/2020,11/18/2020,Complete,41
2019 Senior Home Repair and Maintenance Program,NDA,CDBG_NDA,5406,1,CCR,11,SG2019-188,"60,000.00",6/26/2020,8/6/2020,7/23/2020,"5,566.26",7/28/2020,7/28/2020,7/29/2020,8/6/2020,Complete,41
Emergency Shelter,ESG,ESGP,5428,1,CCR,9,SG2019-263,"97,000.00",9/16/2020,10/27/2020,10/15/2020,"7,274.23",10/15/2020,10/21/2020,10/22/2020,10/26/2020,Complete,41
Emergency Shelter,ESG,ESGP,5428,1,CCR,10,SG2019-263,"97,000.00",9/16/2020,10/27/2020,10/15/2020,"15,197.02",10/15/2020,10/21/2020,10/22/2020,10/26/2020,Complete,41
2100 Lakeside Shelter Personnel,CDBG Homeless Assistance,CDBG_HA,5436,1,CCR,9,SG2019-245,"250,000.00",10/9/2020,11/19/2020,10/22/2020,"23,268.20",10/22/2020,10/26/2020,11/17/2020,11/18/2020,Complete,41
Adult Wellness Program,Social Service,CDBG_DEPT,5518,1,CCR,10,SG2020-193,"50,000.00",7/31/2021,9/10/2021,9/1/2021,"3,826.01",9/1/2021,9/3/2021,9/7/2021,9/7/2021,Complete,41
Youth Services,Social Service,CDBG_DEPT,5543,1,CCR,9,SG2020-230,"100,000.00",5/27/2021,7/7/2021,7/1/2021,"10,385.11",7/1/2021,7/1/2021,7/2/2021,7/2/2021,Complete,41
CDC Activity Grant,CDC,CDBG_DEPT,5567,1,CCR,8,SG2020-0149,"560,000.00",5/13/2021,6/23/2021,6/18/2021,"35,347.28",6/21/2021,6/21/2021,6/21/2021,6/22/2021,Complete,41
CDC Activity Grant,CDC,CDBG_DEPT,5570,1,CCR,2,SG2020-132,"232,000.00",11/5/2020,12/16/2020,11/23/2020,"18,791.74",11/23/2020,11/23/2020,11/24/2020,12/16/2020,Complete,41
Cares Act - West Park Food Pantry Collaborative,CARESAct,CARESAct,5579,1,CCR,3,SG2020-0054,"56,000.00",10/13/2020,11/23/2020,11/19/2020,0.00,11/20/2020,11/20/2020,11/23/2020,11/23/2020,Complete,41
cares act - Senior Services,CARESAct,CARESAct,5602,1,CCR,6,SG2020-122,"10,000.00",1/14/2021,2/24/2021,2/9/2021,769.22,2/9/2021,2/12/2021,2/17/2021,2/24/2021,Complete,41
cares act connecting seniors,CARESAct,CARESAct,5604,1,CCR,6,SG2020-100,"31,250.00",1/14/2021,2/24/2021,2/9/2021,"2,604.17",2/9/2021,2/12/2021,2/17/2021,2/24/2021,Complete,41
Integrated Services for COVID-19 Affectted Low-Income Cleveland Households,CARESAct,CARESAct,5610,1,CCR,4,SG2020-099,"3,900,000.00",11/5/2020,12/16/2020,12/10/2020,"35,702.90",12/10/2020,12/10/2020,12/11/2020,12/16/2020,Complete,41
Norma Herr Women's Shelter,CDBG Homeless Assistance,CDBG_HA,5654,1,CCR,11,SG2021-065,"200,000.00",12/30/2021,2/9/2022,1/24/2022,0.00,2/7/2022,2/8/2022,2/8/2022,2/9/2022,Complete,41
CDC Activity Grant,CDC,CDBG_DEPT,5773,1,CCR,3,SG2021-321,"321,408.00",10/20/2021,11/30/2021,11/23/2021,"23,117.51",11/23/2021,11/24/2021,11/24/2021,11/29/2021,Complete,41
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,25,CT8006 RH2019*003,"50,000.00",10/25/2021,12/6/2021,10/25/2021,"1,112.00",10/25/2021,10/26/2021,10/29/2021,12/1/2021,Complete,42
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5299,1,CCR,9,SG2019-121,"288,000.00",4/29/2020,6/10/2020,5/26/2020,"20,245.68",5/27/2020,5/28/2020,5/31/2020,6/10/2020,Complete,42
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5300,1,CCR,9,SG2019-156,"1,859,000.00",4/30/2020,6/11/2020,6/4/2020,"155,195.00",6/4/2020,6/5/2020,6/8/2020,6/11/2020,Complete,42
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5301,1,CCR,8,SG2019-120,"238,000.00",4/2/2020,5/14/2020,5/5/2020,"16,766.22",5/5/2020,5/6/2020,5/7/2020,5/12/2020,Complete,42
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5305,1,CCR,9,SG2019-123,"520,000.00",4/30/2020,6/11/2020,6/4/2020,"56,455.64",6/4/2020,6/5/2020,6/9/2020,6/11/2020,Complete,42
Youth Recreation Program-Collinwood,Social Service,CDBG_DEPT,5324,1,CCR,11,SG2019-154,"16,300.00",10/7/2020,11/18/2020,10/14/2020,0.00,10/14/2020,10/21/2020,10/22/2020,11/18/2020,Complete,42
Emergency Domestic Violence Shelter,Social Service,CDBG_DEPT,5327,1,CCR,9,SG2019-118,"58,488.00",6/24/2020,8/5/2020,7/28/2020,"5,765.82",7/30/2020,8/3/2020,8/3/2020,8/5/2020,Complete,42
Advising Services,Social Service,CDBG_DEPT,5332,1,CCR,12,SG2019-127,"10,000.00",9/16/2020,10/28/2020,10/20/2020,833.35,10/21/2020,10/21/2020,10/22/2020,10/26/2020,Complete,42
Eviction Prevention through Mediation,Social Service,CDBG_DEPT,5349,1,CCR,12,SG2019-144,"10,000.00",9/16/2020,10/28/2020,10/7/2020,"1,105.70",10/14/2020,10/21/2020,10/22/2020,10/26/2020,Complete,42
Art Works 2019/2020,Social Service,CDBG_DEPT,5358,1,CCR,11,SG2019-164,"50,620.00",8/20/2020,10/1/2020,9/24/2020,"9,193.60",9/24/2020,9/25/2020,9/29/2020,9/30/2020,Complete,42
Art Works 2019/2020,Social Service,CDBG_DEPT,5358,1,CCR,12,SG2019-164,"50,620.00",8/20/2020,10/1/2020,9/24/2020,"27,633.70",9/24/2020,9/25/2020,9/29/2020,9/30/2020,Complete,42
Child Day Care Resources,Social Service,CDBG_DEPT,5363,1,CCR,7,SG2019-116,"5,700.00",3/11/2020,4/22/2020,4/8/2020,475.00,4/8/2020,4/13/2020,4/13/2020,4/22/2020,Complete,42
Health Assessment,Social Service,CDBG_DEPT,5370,1,CCR,8,,"22,500.00",3/11/2020,4/22/2020,4/8/2020,"1,875.00",4/8/2020,4/9/2020,4/13/2020,4/21/2020,Complete,42
Youth Program- Fatima Family Center,Social Service,CDBG_DEPT,5378,1,CCR,9,SG2019-155,"10,000.00",10/26/2020,12/7/2020,11/13/2020,471.12,11/19/2020,11/20/2020,11/23/2020,11/23/2020,Complete,42
Hispanic Senior Center Elderly Services,Social Service,CDBG_DEPT,5379,1,CCR,11,SG2019-130,"19,650.00",10/8/2020,11/19/2020,10/22/2020,"2,267.01",10/22/2020,10/26/2020,11/17/2020,11/18/2020,Complete,42
Teen Leadership Program,Social Service,CDBG_DEPT,5380,1,CCR,11,SG2019-140,"28,500.00",10/8/2020,11/19/2020,10/22/2020,"2,109.73",10/22/2020,10/26/2020,11/17/2020,11/18/2020,Complete,42
SHAD Connection News Letter Project,Social Service,CDBG_NDA,5466,1,CCR,11,SG2020-014,"20,000.00",1/13/2021,2/24/2021,2/8/2021,"1,064.17",2/8/2021,2/12/2021,2/17/2021,2/24/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,1,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,700.43",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,2,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,617.96",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,3,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,036.36",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,4,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,850.00,3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,5,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,980.30",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,6,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,450.00",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,7,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,350.77",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,8,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,928.00",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,9,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,551.01",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,10,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,658.00",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,11,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,600.00",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
ASC3 Digital Technology Literacy Program,NDA,CDBG_NDA,5469,1,CCR,12,sg2020-105,"25,000.00",2/3/2021,3/17/2021,3/3/2021,"1,686.11",3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,42
Emergency Domestic Violence Shelter,Social Service,CDBG_DEPT,5478,1,CCR,4,SG2020-103,"73,488.00",1/13/2021,2/24/2021,2/9/2021,"3,843.63",2/9/2021,2/12/2021,2/17/2021,2/24/2021,Complete,42
PY2020 Heritage Home Program,City Wide,CDBG_DEPT,5514,1,CCR,6,SG2020-144,"169,000.00",1/14/2021,2/25/2021,2/18/2021,"14,349.42",2/18/2021,2/23/2021,2/23/2021,2/25/2021,Complete,42
2020 Stabilizing Historic Districts,City Wide,CDBG_DEPT,5515,1,CCR,6,SG2020-147,"25,000.00",1/14/2021,2/25/2021,2/18/2021,"2,018.92",2/18/2021,2/23/2021,2/23/2021,2/25/2021,Complete,42
Queer Youth Initiative (QYOU),Social Service,CDBG_DEPT,5533,1,CCR,8,SG2020-184,"18,000.00",3/24/2021,5/5/2021,4/28/2021,"1,348.27",4/28/2021,4/28/2021,4/29/2021,4/30/2021,Complete,42
Cares Act  - Emergency utility Assistance,CARESAct,CARESAct,5562,1,CCR,9,SG2020-127,"183,079.00",4/16/2021,5/28/2021,5/12/2021,"5,600.72",5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,42
CDC Activity Grant,CDC,CDBG_DEPT,5569,1,CCR,9,SG2020-162,"312,000.00",5/21/2021,7/2/2021,6/18/2021,"17,579.79",6/28/2021,6/28/2021,6/29/2021,6/29/2021,Complete,42
Cares Act - Homeless Prevention - Outreach,CARESAct,CARESAct,5598,1,CCR,10,SG2020-0160,"90,444.00",5/19/2021,6/30/2021,6/18/2021,"7,711.96",6/22/2021,6/23/2021,6/24/2021,6/28/2021,Complete,42
cares act - Senior Services,CARESAct,CARESAct,5602,1,CCR,5,SG2020-122,"10,000.00",12/11/2020,1/22/2021,12/29/2020,769.22,12/29/2020,1/8/2021,1/14/2021,1/22/2021,Complete,42
CARES Act - Rental Assistance,CARESAct,CARESAct,5631,1,CCR,11,SG2020-0052,"7,410,267.00",6/8/2021,7/20/2021,7/7/2021,"818,680.55",7/7/2021,7/7/2021,7/7/2021,7/20/2021,Complete,42
CDC Activity Grant,CDC,CDBG_DEPT,5642,1,CCR,8,SG2020-181,"325,500.00",3/24/2021,5/5/2021,4/27/2021,"21,144.34",4/27/2021,4/28/2021,4/29/2021,4/30/2021,Complete,42
Emergency Shelter,ESG,ESGP,5646,1,CCR,5,SG2021-149,"97,000.00",5/10/2021,6/21/2021,5/13/2021,"10,250.20",5/25/2021,5/25/2021,5/27/2021,6/16/2021,Complete,42
Visual health 2021,Social Service,CDBG_DEPT,5679,1,CCR,4,SG2021-283,"15,470.00",12/3/2021,1/14/2022,12/14/2021,415.80,12/16/2021,1/7/2022,1/11/2022,1/11/2022,Complete,42
CDC Activity Grant,CDC,CDBG_DEPT,5769,1,CCR,5,SG2021-345,"522,000.00",12/21/2021,2/1/2022,1/24/2022,164.00,1/24/2022,1/26/2022,1/26/2022,1/27/2022,Complete,42
CDC Activity Grant,CDC,CDBG_DEPT,5772,1,CCR,5,SG2021-405,"325,000.00",12/15/2021,1/26/2022,1/20/2022,295.08,1/20/2022,1/24/2022,1/24/2022,1/24/2022,Complete,42
Emerald Alliance XI,Multi-Family,HOME,340,2,HDO,3,LA201900031,"1,200,000.00",5/12/2021,6/24/2021,5/13/2021,"120,000.00",5/13/2021,5/13/2021,5/17/2021,6/23/2021,Complete,43
Citywide Development Assistance  - Mi Casa Housing Counseling Program,City Wide,CDBG_DEPT,5318,1,CCR,5,SG2019-162,"20,000.00",1/6/2020,2/18/2020,1/27/2020,"1,245.68",2/12/2020,2/13/2020,2/13/2020,2/14/2020,Complete,43
Youth Services - Sisterhood Program,Social Service,CDBG_DEPT,5321,1,CCR,11,SG2019-224,"12,110.00",9/16/2020,10/29/2020,10/1/2020,"1,009.22",10/7/2020,10/8/2020,10/9/2020,10/27/2020,Complete,43
Senior Services,Social Service,CDBG_DEPT,5322,1,CCR,6,SG2019-260,"34,000.00",1/21/2020,3/4/2020,2/27/2020,"2,745.28",2/27/2020,2/28/2020,3/2/2020,3/3/2020,Complete,43
Emergency Food Program,Social Service,CDBG_DEPT,5323,1,CCR,11,SG2019-158,"40,098.00",6/16/2020,7/29/2020,7/23/2020,"7,725.22",7/23/2020,7/23/2020,7/24/2020,7/29/2020,Complete,43
Advising Services,Social Service,CDBG_DEPT,5332,1,CCR,7,SG2019-127,"10,000.00",4/22/2020,6/4/2020,4/29/2020,833.33,5/2/2020,5/4/2020,5/4/2020,5/6/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,1,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,579.76",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,2,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,918.70",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,4,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,769.38",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,5,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,916.54",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,6,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,297.26",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5334,1,CCR,7,SG2019-183,"23,100.00",8/25/2020,10/7/2020,9/30/2020,"1,182.67",9/30/2020,9/30/2020,10/1/2020,10/7/2020,Complete,43
Adult Wellness Program,Social Service,CDBG_DEPT,5347,1,CCR,9,SG2019-106,"50,000.00",7/21/2020,9/2/2020,8/27/2020,"4,041.61",8/27/2020,8/28/2020,8/28/2020,9/2/2020,Complete,43
Eviction Prevention through Mediation,Social Service,CDBG_DEPT,5349,1,CCR,7,SG2019-144,"10,000.00",4/28/2020,6/10/2020,5/19/2020,679.60,5/27/2020,5/28/2020,5/31/2020,6/10/2020,Complete,43
El Barrio Workforce Development Center,Social Service,CDBG_DEPT,5355,1,CCR,6,SG2019-135,"19,300.00",6/4/2020,7/17/2020,6/23/2020,"1,552.12",6/24/2020,6/26/2020,6/26/2020,7/17/2020,Complete,43
El Barrio Workforce Development Center,Social Service,CDBG_DEPT,5355,1,CCR,7,SG2019-135,"19,300.00",6/4/2020,7/17/2020,6/23/2020,"1,552.12",6/24/2020,6/26/2020,6/26/2020,7/17/2020,Complete,43
Counseling/Community Services,Social Service,CDBG_DEPT,5361,1,CCR,12,SG2019-256,"58,700.00",10/7/2020,11/19/2020,10/27/2020,"4,471.81",10/27/2020,11/11/2020,11/17/2020,11/18/2020,Complete,43
Hispanic Senior Center Elderly Services,Social Service,CDBG_DEPT,5379,1,CCR,6,SG2019-130,"19,650.00",4/22/2020,6/4/2020,4/29/2020,"1,511.34",4/30/2020,5/4/2020,5/4/2020,5/6/2020,Complete,43
Teen Leadership Program,Social Service,CDBG_DEPT,5380,1,CCR,6,SG2019-140,"28,500.00",4/22/2020,6/4/2020,4/29/2020,"1,469.10",4/30/2020,5/4/2020,5/4/2020,5/6/2020,Complete,43
Teen Leadership Program,Social Service,CDBG_DEPT,5380,1,CCR,8,SG2019-140,"28,500.00",6/10/2020,7/23/2020,6/24/2020,"1,342.48",6/27/2020,6/30/2020,6/30/2020,7/23/2020,Complete,43
At-Risk Youth Program,Social Service,CDBG_DEPT,5381,1,CCR,6,SG2019-147,"14,000.00",4/22/2020,6/4/2020,4/29/2020,"1,076.93",4/30/2020,5/4/2020,5/4/2020,5/6/2020,Complete,43
At-Risk Youth Program,Social Service,CDBG_DEPT,5381,1,CCR,10,SG2019-147,"14,000.00",8/4/2020,9/16/2020,9/8/2020,543.44,9/10/2020,9/10/2020,9/10/2020,9/16/2020,Complete,43
Senior Adult Program St. Martin de Porres Family Center,Social Service,CDBG_DEPT,5382,1,CCR,6,SG2019-107,"28,440.00",4/22/2020,6/4/2020,4/29/2020,"2,122.72",4/29/2020,4/29/2020,4/30/2020,5/6/2020,Complete,43
Norma Herr Women's Shelter,CDBG Homeless Assistance,CDBG_HA,5419,1,CCR,1,SG2019-249,"200,000.00",4/29/2020,6/11/2020,6/3/2020,"13,002.14",6/5/2020,6/5/2020,6/5/2020,6/11/2020,Complete,43
Norma Herr Women's Shelter,CDBG Homeless Assistance,CDBG_HA,5419,1,CCR,13,SG2019-249,"200,000.00",3/23/2021,5/5/2021,4/13/2021,"10,990.72",4/21/2021,4/21/2021,4/22/2021,4/30/2021,Complete,43
2100 Lakeside Shelter Personnel,CDBG Homeless Assistance,CDBG_HA,5436,1,CCR,2,SG2019-245,"250,000.00",3/11/2020,4/23/2020,4/8/2020,"22,625.10",4/8/2020,4/11/2020,4/13/2020,4/17/2020,Complete,43
Health Assessment,Social Service,CDBG_DEPT,5476,1,CCR,11,SG2020-102,"31,750.00",6/9/2021,7/22/2021,7/15/2021,"2,645.84",7/16/2021,7/20/2021,7/20/2021,7/21/2021,Complete,43
Visual Health,Social Service,CDBG_DEPT,5479,1,CCR,8,SG2020-096,"18,200.00",4/15/2021,5/28/2021,5/5/2021,"1,516.00",5/6/2021,5/6/2021,5/7/2021,5/10/2021,Complete,43
El Barrio Workforce Development Center,Social Service,CDBG_DEPT,5489,1,CCR,1,SG2020-217,"34,300.00",12/23/2020,2/4/2021,1/21/2021,"2,448.43",1/26/2021,1/26/2021,1/27/2021,2/4/2021,Complete,43
Counseling/Community Services,Social Service,CDBG_DEPT,5508,1,CCR,4,SG2020-205,"77,500.00",2/2/2021,3/17/2021,2/22/2021,66.00,3/9/2021,3/11/2021,3/12/2021,3/17/2021,Complete,43
Counseling/Community Services,Social Service,CDBG_DEPT,5508,1,CCR,5,SG2020-205,"77,500.00",3/3/2021,4/15/2021,3/26/2021,"6,016.14",3/30/2021,4/1/2021,4/8/2021,4/13/2021,Complete,43
2020 Stabilizing Historic Districts,City Wide,CDBG_DEPT,5515,1,CCR,9,SG2020-147,"25,000.00",4/15/2021,5/28/2021,5/20/2021,"2,081.29",5/20/2021,5/21/2021,5/24/2021,5/25/2021,Complete,43
City Wide Development Assistance - Business Technical Assistance,City Wide,CDBG_DEPT,5529,1,CCR,7,SG2020-0148,"30,060.00",3/3/2021,4/15/2021,3/31/2021,"2,497.02",3/31/2021,4/1/2021,4/9/2021,4/12/2021,Complete,43
Senior Guest House,Social Service,CDBG_DEPT,5536,1,CCR,3,SG2020-235,"47,900.00",4/15/2021,5/28/2021,5/4/2021,"3,518.17",5/4/2021,5/5/2021,5/7/2021,5/10/2021,Complete,43
Wisdom Keepers Program,Social Service,CDBG_DEPT,5541,1,CCR,2,SG2020-145,"9,900.00",1/13/2021,2/25/2021,2/22/2021,807.38,2/23/2021,2/23/2021,2/23/2021,2/25/2021,Complete,43
Code Enforcement,Casino,Casino_Funds,5551,1,CCR,10,SG2021-140,"83,587.00",5/19/2021,7/1/2021,6/25/2021,"4,920.56",6/25/2021,6/28/2021,6/28/2021,6/29/2021,Complete,43
SEEDS Program,NDA,CDBG_NDA,5554,1,CCR,4,SG2020-061,"65,000.00",10/20/2020,12/2/2020,11/23/2020,541.67,11/24/2020,11/25/2020,11/30/2020,11/30/2020,Complete,43
SEEDS Program,NDA,CDBG_NDA,5554,1,CCR,5,SG2020-061,"65,000.00",10/20/2020,12/2/2020,11/23/2020,541.67,11/25/2020,11/25/2020,11/30/2020,11/30/2020,Complete,43
Cares Act  - Emergency utility Assistance,CARESAct,CARESAct,5562,1,CCR,6,SG2020-127,"183,079.00",1/12/2021,2/24/2021,2/9/2021,"2,533.50",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,43
Cares Act  - Emergency utility Assistance,CARESAct,CARESAct,5562,1,CCR,17,SG2020-127,"183,079.00",12/14/2021,1/26/2022,1/21/2022,"2,403.33",1/24/2022,1/24/2022,1/24/2022,1/24/2022,Complete,43
CDC Activity Grant,CDC,CDBG_DEPT,5567,1,CCR,7,SG2020-0149,"560,000.00",3/23/2021,5/5/2021,4/28/2021,"31,343.42",4/28/2021,4/28/2021,4/29/2021,4/30/2021,Complete,43
CDC Activity Grant,CDC,CDBG_DEPT,5569,1,CCR,5,SG2020-162,"312,000.00",2/1/2021,3/16/2021,3/8/2021,0.00,3/8/2021,3/11/2021,3/12/2021,3/16/2021,Complete,43
CDC Activity Grant,CDC,CDBG_DEPT,5569,1,CCR,6,SG2020-162,"312,000.00",2/1/2021,3/16/2021,3/8/2021,0.00,3/8/2021,3/11/2021,3/12/2021,3/16/2021,Complete,43
